date,eurusd,usdjpy,gbpusd,nzdusd,gbpjpy,eurgbp,eurcad,eursek,eurchf,eurhuf,usdcny,usdhkd,usdsgd,usdinr,usdmxn,usdphp,usdidr,usdthb,usdmyr,usdzar,usdrub
2009-07-22,1.4205957651138306,93.56900024414062,1.6450073719024658,0.6587181091308594,153.88999938964844,0.8633999824523926,1.562600016593933,10.784199714660645,1.5155999660491943,271.2200012207031,6.821599960327148,7.749499797821045,1.4422999620437622,48.44499969482422,13.220100402832031,47.72999954223633,9987.2998046875,34.005001068115234,3.5543999671936035,7.730000019073486,31.16029930114746
2009-07-23,1.416330337524414,94.93000030517578,1.651200294494629,0.6554798483848572,156.75,0.8574000000953674,1.542099952697754,10.625800132751465,1.520400047302246,268.17999267578125,6.821700096130371,7.74970006942749,1.4416999816894531,48.37300109863281,13.238900184631348,47.72999954223633,10070.0,34.047000885009766,3.563100099563598,7.707799911499023,31.20249938964844
2009-07-24,1.4212015867233276,94.87000274658205,1.644709825515747,0.6560819149017334,155.75999450683594,0.864799976348877,1.544700026512146,10.646499633789062,1.5232000350952148,265.67999267578125,6.822500228881836,7.74970006942749,1.4394999742507937,48.130001068115234,13.18000030517578,47.95000076293945,10035.0,33.78300094604492,3.5267999172210693,7.725800037384033,30.965499877929688
2009-07-27,1.4247043132781982,95.16000366210938,1.6485328674316406,0.6560819149017334,156.8300018310547,0.8640999794006348,1.5388000011444092,10.518600463867188,1.5241999626159668,266.9599914550781,6.821400165557861,7.749499797821045,1.4402999877929688,48.09199905395508,13.264200210571287,47.72999954223633,10010.0,33.70399856567383,3.507200002670288,7.759200096130371,30.699499130249023
2009-07-28,1.4146071672439575,94.37999725341795,1.6410928964614868,0.6554798483848572,154.8800048828125,0.8618999719619751,1.5312000513076782,10.593899726867676,1.5230000019073486,268.4700012207031,6.820899963378906,7.749599933624268,1.4420000314712524,48.132999420166016,13.219499588012695,47.72999954223633,9982.400390625,33.803001403808594,3.5095999240875244,7.849699974060059,31.08449935913086
2009-07-29,1.4014631509780884,95.0999984741211,1.6351090669631958,0.6489713788032532,155.4600067138672,0.8569999933242798,1.528499960899353,10.520999908447266,1.526900053024292,269.1000061035156,6.822400093078613,7.749499797821045,1.4458999633789062,48.391998291015625,13.2524995803833,47.72999954223633,9983.7001953125,33.858001708984375,3.5346999168396,7.889100074768066,31.57699966430664
2009-07-30,1.4084903001785278,95.55999755859376,1.6507915258407593,0.653082549571991,157.72999572753906,0.8531000018119812,1.5250999927520752,10.43369960784912,1.5311000347137451,268.44000244140625,6.8225998878479,7.74940013885498,1.4424999952316284,48.275001525878906,13.25220012664795,47.77999877929688,9894.2001953125,33.89699935913086,3.524499893188477,7.78000020980835,31.51499938964844
2009-07-31,1.4260046482086182,94.63999938964844,1.670508861541748,0.6645843386650085,158.0800018310547,0.8532999753952026,1.5353000164031982,10.241900444030762,1.5220999717712402,265.739990234375,6.822100162506104,7.749599933624268,1.4386999607086182,47.6259994506836,13.14900016784668,47.91999816894531,9774.099609375,33.87200164794922,3.525000095367432,7.767000198364258,31.540000915527344
2009-08-03,1.4411921501159668,95.16699981689452,1.6941112279891968,0.6684045195579529,161.1649932861328,0.8507999777793884,1.5357999801635742,10.179499626159668,1.5264999866485596,264.6600036621094,6.821000099182129,7.749599933624268,1.4325000047683716,47.61600112915039,13.086999893188477,47.77000045776367,9671.0,33.875999450683594,3.506200075149536,7.735199928283691,31.05620002746582
2009-08-04,1.4419610500335691,95.29000091552734,1.695403814315796,0.674081563949585,161.5399932861328,0.8503000140190125,1.5427000522613523,10.267000198364258,1.5270999670028689,265.20001220703125,6.820300102233887,7.749499797821045,1.4323999881744385,47.470001220703125,13.129199981689451,47.77000045776367,9664.400390625,33.768001556396484,3.486799955368042,7.833099842071533,31.08300018310547
2009-08-05,1.4411712884902954,94.7959976196289,1.699610710144043,0.6718172430992126,161.05499267578125,0.8478999733924866,1.5425000190734863,10.272100448608398,1.5291999578475952,267.6499938964844,6.821700096130371,7.750100135803223,1.43340003490448,47.56999969482422,13.032699584960938,47.77000045776367,9867.099609375,33.750999450683594,3.4892001152038574,7.88100004196167,31.15800094604492
2009-08-06,1.4372979402542114,95.48400115966795,1.6810113191604614,0.6713212132453918,160.4600067138672,0.8547999858856201,1.547600030899048,10.271400451660156,1.528599977493286,269.6000061035156,6.821300029754639,7.749599933624268,1.435099959373474,47.61399841308594,13.038700103759766,47.77000045776367,9896.2001953125,33.83300018310547,3.484299898147583,8.049699783325195,31.3174991607666
2009-08-07,1.419103980064392,97.43000030517578,1.6685019731521606,0.6733099818229675,162.52000427246094,0.8495000004768372,1.530500054359436,10.168100357055664,1.5326999425888062,268.0199890136719,6.821800231933594,7.750199794769287,1.4392999410629272,47.86899948120117,12.93000030517578,47.81999969482422,9941.5,33.79899978637695,3.495300054550171,7.998000144958496,31.48760032653809
2009-08-10,1.413107991218567,97.01000213623048,1.647880792617798,0.675995409488678,159.81700134277344,0.8574000000953674,1.537700057029724,10.246800422668455,1.5341999530792236,269.8999938964844,6.824699878692627,7.749800205230713,1.444599986076355,47.70700073242188,12.899999618530272,47.77000045776367,9919.0,33.849998474121094,3.504300117492676,8.067500114440918,31.801300048828125
2009-08-11,1.4150075912475586,95.91999816894533,1.6489949226379397,0.6676904559135437,158.11000061035156,0.8580999970436096,1.5561000108718872,10.345000267028809,1.5305999517440796,271.8599853515625,6.824999809265137,7.75029993057251,1.447700023651123,47.91400146484375,13.012499809265137,47.77000045776367,9926.7998046875,33.87300109863281,3.505800008773804,8.077899932861328,32.21590042114258
2009-08-12,1.4217066764831543,96.15699768066406,1.6510095596313477,0.6716818809509277,158.7100067138672,0.8610000014305115,1.5484000444412231,10.23050022125244,1.5292999744415283,269.29998779296875,6.825099945068359,7.750100135803223,1.4424999952316284,48.2869987487793,12.948800086975098,47.77000045776367,9952.900390625,33.893001556396484,3.527100086212158,8.018699645996094,32.2859992980957
2009-08-13,1.4275925159454346,95.2699966430664,1.6570007801055908,0.6792093515396118,157.80999755859375,0.8614000082015991,1.551800012588501,10.214099884033203,1.52839994430542,268.69000244140625,6.823500156402588,7.750100135803223,1.442199945449829,48.05400085449219,12.856499671936035,47.650001525878906,9944.7001953125,33.888999938964844,3.5090999603271484,7.974400043487549,31.64520072937012
2009-08-14,1.42069673538208,94.86000061035156,1.6543965339660645,0.6768189668655396,156.8699951171875,0.8590999841690063,1.5587999820709229,10.217700004577637,1.5225000381469729,271.6700134277344,6.823400020599365,7.750199794769287,1.4412000179290771,48.209999084472656,12.836999893188477,48.0,9965.5,33.87200164794922,3.517699956893921,8.025699615478516,31.69650077819824
2009-08-17,1.4105963706970217,94.43000030517578,1.6351892948150637,0.6694784760475159,154.3699951171875,0.8623999953269958,1.5592999458312988,10.246299743652344,1.5176000595092771,273.07000732421875,6.824900150299072,7.750400066375732,1.4500000476837158,48.57099914550781,12.996000289916992,48.06999969482422,10030.0,33.90399932861328,3.5355000495910645,8.081999778747559,32.18510055541992
2009-08-18,1.4165109395980835,94.83999633789062,1.6588973999023438,0.6768189668655396,157.33999633789062,0.8537999987602234,1.558500051498413,10.223199844360352,1.5204999446868896,271.3699951171875,6.82450008392334,7.750800132751465,1.4466999769210815,48.68899917602539,12.9266996383667,47.970001220703125,10023.0,33.900001525878906,3.524899959564209,8.007499694824219,32.404300689697266
2009-08-19,1.4253947734832764,94.11000061035156,1.6559032201766968,0.6759039759635925,155.78799438476562,0.8605999946594238,1.5587999820709229,10.211000442504885,1.516700029373169,270.8299865722656,6.826399803161621,7.750899791717529,1.4456000328063965,48.67100143432617,12.881699562072754,47.970001220703125,9926.7001953125,33.893001556396484,3.545300006866455,7.989999771118164,32.404300689697266
2009-08-20,1.4260046482086182,94.25700378417967,1.6510913372039795,0.6772773265838623,155.52999877929688,0.8633999824523926,1.551200032234192,10.187000274658203,1.5152000188827517,269.5400085449219,6.821800231933594,7.750800132751465,1.4408999681472778,48.61600112915039,12.878700256347656,47.970001220703125,10050.0,33.869998931884766,3.5174999237060547,7.902900218963623,31.805099487304688
